road_id,geometry_class,road_type,road_name_class,full_road_name,road_name_label,road_name_prefix,road_name_body,road_name_type,road_name_suffix,route_name_body,route_name_number,route_name_alpha,route_name_suffix,full_road_name_ascii,road_name_label_ascii,road_name_body_ascii
3001369,Addressing Road,Unknown,Road,Dalziel Road,Dalziel Rd,,Dalziel,Road,,,,,,Dalziel Road,Dalziel Rd,Dalziel
3076083,Addressing Road,Accessway,,,,,,,,,,,,,,
3007123,Addressing Road,Unknown,Road,East West Access Road,East West Accs Rd,,East West,Access Road,,,,,,East West Access Road,East West Accs Rd,East West
3017738,Addressing Road,Unknown,Road,Makakahi Road,Makakahi Rd,,Makakahi,Road,,,,,,Makakahi Road,Makakahi Rd,Makakahi
3066932,Addressing Road,Unknown,Road,Clay Creek Road,Clay Creek Rd,,Clay Creek,Road,,,,,,Clay Creek Road,Clay Creek Rd,Clay Creek
1793332,Addressing Road,Unknown,Road,Boundary Road,Boundary Rd,,Boundary,Road,,,,,,Boundary Road,Boundary Rd,Boundary
1795453,Addressing Road,Unknown,Road,Totara Grove,Totara Grv,,Totara,Grove,,,,,,Totara Grove,Totara Grv,Totara
1795465,Addressing Road,Unknown,Road,Murphys Line,Murphys Line,,Murphys,Line,,,,,,Murphys Line,Murphys Line,Murphys
1795473,Addressing Road,Unknown,Road,Hayward Street,Hayward St,,Hayward,Street,,,,,,Hayward Street,Hayward St,Hayward
1795476,Addressing Road,Unknown,Road,Reading Street,Reading St,,Reading,Street,,,,,,Reading Street,Reading St,Reading
1795627,Addressing Road,Unknown,Road,Rototawai Road,Rototawai Rd,,Rototawai,Road,,,,,,Rototawai Road,Rototawai Rd,Rototawai
1795541,Addressing Road,Unknown,Road,Humes Road,Humes Rd,,Humes,Road,,,,,,Humes Road,Humes Rd,Humes
1795542,Addressing Road,Unknown,Road,Te Hopai Road,Te Hopai Rd,,Te Hopai,Road,,,,,,Te Hopai Road,Te Hopai Rd,Te Hopai
